Dimensions_ID,Width,Length,Height,Wheelbase,Curb_weight_kg,Clearance
3236048281495610550,2000.0,5151.0,1805.0,3105.0,2555.0,221.0
5206448320164250667,2000.0,5151.0,1805.0,3105.0,2320.0,221.0
-3601767816311525996,2000.0,5151.0,1805.0,3105.0,2470.0,221.0
-3659759950274670990,1926.0,4856.0,1900.0,2800.0,2325.0,206.0
5299393960308806589,1785.0,4300.0,1585.0,2600.0,1130.0,180.0
3354037943509231585,1785.0,4300.0,1585.0,2600.0,1235.0,180.0
-3729571362536344964,1785.0,4300.0,1585.0,2600.0,1195.0,180.0
-1665383424370800350,1785.0,4300.0,1585.0,2600.0,1170.0,180.0
7774829314533571274,1840.0,4500.0,1670.0,2730.0,1540.0,0.0
6094750094102127538,1840.0,4500.0,1670.0,2730.0,1505.0,0.0
3782798379066085875,1920.0,4956.0,1905.0,3275.0,1746.0,175.0
-4060225940273168552,1920.0,4956.0,1905.0,3275.0,1775.0,175.0
-84965075633112533,1920.0,4956.0,1905.0,3275.0,1587.0,150.0
-5908907743973143333,1802.0,4698.0,1535.0,2710.0,1386.0,0.0
1993581048989044808,1802.0,4698.0,1535.0,2710.0,1388.0,0.0
-1486512994940080187,1802.0,4698.0,1535.0,2710.0,1406.0,0.0
8420699262564718854,1802.0,4698.0,1535.0,2710.0,1352.0,0.0
7514125891787438474,1841.0,4447.0,1624.0,2675.0,1540.0,219.0
-5647920017673949939,1841.0,4447.0,1624.0,2675.0,1465.0,219.0
-4029857119131022508,1943.0,5098.0,1420.0,3027.0,1980.0,130.0
7559647063779171287,1796.0,4549.0,1446.0,2729.0,1380.0,0.0
-5919259181017135950,1765.0,4155.0,1637.0,2604.0,1263.0,175.0
2575254778270156493,1814.0,4670.0,1461.0,2686.0,1320.0,141.0
-3549834169096819259,1796.0,4419.0,1440.0,2729.0,1351.0,104.0
-564982023793508787,1796.0,4419.0,1440.0,2729.0,1430.0,104.0
-6440436189149108048,1764.0,4165.0,1570.0,2592.0,1190.0,195.0
-5483566924316247516,1796.0,4549.0,1446.0,2729.0,1385.0,0.0
245477789559543748,2073.0,5200.0,1868.0,3120.0,2592.0,220.0
1701400299718719774,2073.0,5200.0,1868.0,3120.0,2606.0,220.0
-7610082525321365290,2073.0,5200.0,1868.0,3120.0,2451.0,220.0
5555219975676772064,2073.0,5200.0,1868.0,3120.0,2387.0,220.0
-4719281133540566194,1810.0,4171.0,1645.0,2592.0,1295.0,215.0
6966564025280153956,1825.0,4335.0,1660.0,2600.0,1465.0,180.0
7771803834954843024,1825.0,4335.0,1660.0,2600.0,1425.0,180.0
-2598580968758350132,1908.0,4969.0,1422.0,2926.0,1890.0,0.0
-1490484345304810072,1908.0,4969.0,1422.0,2926.0,1750.0,0.0
-1447024038416496904,1984.0,4878.0,1717.0,2904.0,2040.0,0.0
-259908408172424205,1834.0,4634.0,1658.0,2829.0,1735.0,135.0
8769056914672727348,1834.0,4634.0,1658.0,2829.0,1670.0,135.0
-504845892956637992,1834.0,4634.0,1658.0,2829.0,1555.0,135.0
7646384568667045595,1850.0,4690.0,1395.0,2850.0,1874.0,125.0
3310934702110857197,1850.0,4690.0,1395.0,2850.0,1722.0,125.0
-6538716501501522380,1879.0,4939.0,1543.0,2941.0,1920.0,210.0
-4837490290997027897,1890.0,4988.0,1435.0,2939.0,1935.0,93.0
7670465394076980738,1890.0,4988.0,1435.0,2939.0,2020.0,93.0
-766178020206349658,1890.0,4988.0,1435.0,2939.0,1940.0,93.0
2792898450250084730,1735.0,4479.0,1514.0,2620.0,1097.0,0.0
-4601812448544634277,1735.0,4479.0,1514.0,2620.0,1168.0,0.0
-6065111315344235334,1874.0,4394.0,1644.0,2636.0,1542.0,208.0
-332099730551536711,1874.0,4394.0,1644.0,2636.0,1509.0,208.0
346655136409838106,1918.0,4752.0,1621.0,2864.0,1740.0,204.0
8386355757167419209,1918.0,4752.0,1621.0,2864.0,1895.0,204.0
7814373160189515533,1918.0,4752.0,1621.0,2864.0,1720.0,204.0
1221494547166592774,1918.0,4752.0,1621.0,2864.0,1815.0,204.0
-464141240206102615,1894.0,4334.0,1868.0,2460.0,1819.0,246.0
690130674104156324,1793.0,4408.0,1822.0,2682.0,1571.7172606568836,155.0
-434276808218877406,1864.0,4324.0,1304.0,2470.0,1535.0,114.0
-829964643226157204,1864.0,4324.0,1304.0,2470.0,1415.0,117.0
-2667450765299148807,1690.0,4330.0,1505.0,2480.0,1190.0,0.0
8814515923730795870,1690.0,4330.0,1505.0,2480.0,1230.0,0.0
6465480998572796418,1902.0,4851.0,1346.0,2822.0,1770.0,128.0
2696169818106742955,1902.0,4851.0,1346.0,2822.0,1890.0,128.0
-4362103006402738423,1902.0,4851.0,1346.0,2822.0,1830.0,121.0
2296954201402629998,1700.0,4118.0,1538.0,2476.0,1125.0,190.0
-2317581495651378456,1700.0,4118.0,1538.0,2476.0,1125.0,175.0
7090374862642862908,1700.0,3926.0,1500.0,2476.0,1125.0,190.0
2475839165588854454,1700.0,3926.0,1500.0,2476.0,1125.0,175.0
8558783630012727734,1799.0,4702.0,1459.0,2670.0,1355.0,160.0
-4325503437739732213,1727.0,4005.0,1425.0,2567.0,1175.0,146.0
7790925180931113164,1965.0,4804.0,1390.0,2745.0,1571.7172606568836,120.0
-1001133994504485062,1965.0,4804.0,1390.0,2745.0,2350.0,120.0
7215251633366047364,2007.0,5144.0,1887.0,2946.0,2609.0,229.0
-3222668851817857113,1813.4029141308688,4577.173248634002,1579.9898271955933,2724.3654213495624,1571.7172606568836,0.0
716495755531149735,1924.0,4459.0,1165.0,2620.0,1542.0,135.0
-755370274072573722,1924.0,4459.0,1165.0,2620.0,1422.0,135.0
-3942511094585264357,1903.0,4965.0,1473.0,2982.0,1940.0,128.0
2544712603166678074,1903.0,4965.0,1473.0,2982.0,1930.0,132.0
-3351860878452517895,1903.0,4983.0,1473.0,2982.0,1895.0,133.0
2890305104585959014,1920.0,5099.0,1840.0,3075.0,2380.0,200.0
-7655053857861672374,1920.0,5099.0,1840.0,3075.0,2550.0,200.0
-7392621492654654926,1920.0,5099.0,1840.0,3075.0,2445.0,300.0
6304682719828143655,1920.0,5099.0,1840.0,3075.0,2430.0,300.0
5974353267295979949,1869.0,4831.0,1400.0,2906.0,1850.0,134.0
-2389823967886836046,2027.0,5210.0,1895.0,3099.0,2735.0,254.0
-2281584014954051744,1942.0,4689.0,1293.0,2800.0,1485.0,117.0
-2042943992509387289,1799.0,4276.0,1436.0,2630.0,1495.0,128.0
